Week,Date,Lecture Topic,New Concepts OH,Skill Building OH,Campbell's Chapters
1,5/2/26,Introduction to Biology,"Introduction + Chemistry Primer 1(Atoms, Molecules, and Bonds)",How to read a graph (and a paper),1,
2,5/9/26,Biochemistry,Chemistry Primer 2 (Thermo + Intro Orgo),Bioelectronics (ion Channel stuff),2-5,
3,5/16/26,Cell Biology,Kinetics,Microscopy,"6,7",
4,5/23/26,Catabolism,Catalysis,Flow Cytometry,"8,9",
5,5/30/26,Anabolism,Lipid Biochemistry,Pulse Chase Experiments,10,
6,6/6/26,Cell Communication,Protein Synthesis and Degradation,"FRET, FRAP and Related Techniques",11,
7,6/13/26,Biochem and Cell Bio Review,Cell Signaling,Paper Review,NA,
8,6/20/26,Classical Genetics,Compartmentalization and Vesicle Trafficking,"PCR, qPCR and sequencing","14,15",
9,6/27/26,Molecular Basis of Genetics,Cytoskeleton,Microarray and RNAseq (or other proteomic techniques,16-18,
10,7/4/26,Laboratory Techniques,Cell Cycle,So Blong-t and Thanks for all the FISH (Blotting and Electrophoresis),20,
11,7/11/26,Population Genetics,DNA Repair and Recombination,GWAS ,"21,23",
12,7/18/26,Genetics and Mol Bio Review,Apoptosis and Cell Death,Paper Review,,
13,7/25/26,Evolution and Speciation,Chromatography,Sequence Alignment and BLAST,"22,24",
14,8/1/26,Phylogeny and Taxonomy,Epistasis,Phylogenetic Reconstruction/Lineage Tracing,"25,26",
15,8/8/26,Microbes and Viruses,Tetrad Analysis,Mutagenesis,"19, 27",
16,8/15/26,Protists and Fungi,Quantitative Genetics,Paper Review,"28, 31",
17,8/22/26,Plant Diversity,HIV,Gene Editing and Knockout,"29, 30",
18,8/29/26,Introduction to Animals,Intro Statistics,Hox Genes,32,
19,9/5/26,More Animals,Epidemiology,Principle Component Analysis,33,
20,9/12/26,Diversity Review,Invertebrate Dissections,Paper Review,NA,
