Week,Date,Lecture Topic,Extended Topics,Campbell's Chapters
21,9/19/26,Histology and Digestion,Pentose Phosphate Pathway,40
22,9/26/26,Digestion and Excretion,Nutrient Metabolism,"41, 44"
23,10/3/26,Circulation and Respiration,"Cardiac, Kidney, and Respiratory Math",42
24,10/10/26,Immune System,Blood Histology and Hematology,43
25,10/17/26,Endocrine System,Glucose Metabolism,45
26,10/24/26,Reproductive System,IVF,46
27,10/31/26,Development,Drosophila Development,47
28,11/7/26,Nervous System 1,Neuronal Ion Channels,48
29,11/14/26,Nervous System 2,Temperature Regulation and Fatty Acid Catabolism,49
30,11/21/26,Sensory and Motor Systems,Immunology Topics,50
31,11/28/26,Anatomy and Physiology Review,Membrane Potential,N/A
32,12/5/26,Plant Development,Basal Ganglia Circuits and Brain Disease,35
33,12/12/26,Plant Transport and Nutrition,Muscle Physics,"36, 37"
34,12/19/26,Plant Hormones,Vascular Math,38
35,12/26/26,Plant Technologies,Plant Hormone Synthesis,39
36,1/2/27,Plants Review,Quantum Yield and Agriculture,N/A
37,1/9/27,Ethology,Optimal Foraging Theory,51
38,1/16/27,Ecology I,Game Theory,52-54
39,1/23/27,Ecology II,Lotka Volterra,"55,56"
40,1/30/27,Overall Review,Productivity and Production + Final Tips,N/A
