src,alt,location,date,description
/images/gallery/2022/2022-Capitol-IBO-visit.jpg,Four students in dark suits stand beside an American flag in a marble Capitol building,Washington D.C.,2022,Team USA visits the US Capitol ahead of the International Biology Olympiad.
/images/gallery/2023/2023-finals-dinner.png,Baology students and a teacher sit around a table discussing and eating dinner,"USABO Finals, Marymount University",2023,Dinner at the USABO Finals camp featuring Baology students and Dr. Kevin Bao
/images/gallery/2023/2023-finals-yufei-and-daniel.png,Two students examine a spider,"USABO Finals, Marymount University",2023,Yufei and Daniel examine a spider at USABO Finals
/images/gallery/2023/2023-ibo-team.png,A group photo of three students in suits before a white background,"USABO Finals, Marymount University",2023,"Baology-affiliated Gold medalists at USABO Finals, who will go on to represent USA in the International Biology Olympiad"
/images/gallery/2024/2024-ibo-team-photo-public.jpeg,Four students in a group photo in suits with gold medals standing amongst flags,"IBO, Astana, Kazakhstan",2024,Baology-affiliated students all win Gold medals at the International Biology Olympiad!
/images/gallery/2024/2024-ibo-team-photo-flag.png,Four students in suits in a group photo wearing gold medals in front of the US flag,"USABO Finals, Marymount University",2024,Baology-affiliated students win Gold at the USABO Finals camp.
/images/gallery/2025/2025-baology-students-meetup.jpg,Three Baology students in a group photo,Alumni Meetup,2025,Baology alumni meetup
/images/gallery/2025/2025-camp-photo-covered.png,Five Baology students in a group photo wearing lab coats in a laboratory,"USABO Finals, Harvard University",2025,Baology students get ready for laboratory experiments at the USABO Finals camp.
/images/gallery/2024/2024-finals-suzuko-centered.png,Three students watch an instructor's computer screen,"USABO Finals, Harvard University",2024,Baology students at USABO Finals watch Suzuko's computer demonstration
/images/gallery/2025/2025-IBO-blue.jpg,Four students pose with medals in front of a blue background,"USABO Finals, Harvard University",2025,Baology-affiliated students win Gold at USABO Finals
/images/gallery/2025/2025-IBO-flag.jpg,Four students pose with medals in front of the US flag,"IBO, Quezon City, Philippines",2025,Baology-affiliated students win Gold and Silver at the International Biology Olympiad
